,,Game,Change watch time (mins),Change stream time (mins),Change peak viewers,Change peak channels,Change streamers,Change average viewers,Change average channels,Change average viewer ratio,Year,Language
1,,League of Legends,5596270560,123412440,157629,624,65797,10586,234,-5.15,2020,Portuguese
2,,Counter-Strike: Global Offensive,5127345180,38330520,208004,322,42103,9705,73,19.6,2020,Portuguese
3,,VALORANT,4901862600,109223700,295877,3241,129283,9301,207,44.88,2020,Portuguese
4,,Just Chatting,4627326060,59272260,64808,541,76492,8770,112,-19.4,2020,Portuguese
5,,Garena Free Fire,3177607020,16578300,283870,113,37796,6029,31,125,2020,Portuguese
6,,Fortnite,2938916220,37092480,64853,1565,73233,5570,70,22.97,2020,Portuguese
7,,Grand Theft Auto V,2934324060,39516120,54938,350,42402,5557,74,-18.35,2020,Portuguese
8,,Call of Duty: Warzone,2438800380,51769260,62645,404,80200,4628,98,5.79,2020,Portuguese
9,,Among Us,2181618180,19597020,238001,1468,71019,4139,37,80.77,2020,Portuguese
10,,Tibia,983306460,18597480,-779,89,3237,1862,36,6.67,2020,Portuguese
