platform,channel_id,channel_name,hours_watched,airtime_in_m
twitch,36029255,riotgames,10347268,4430
twitch,156037856,fextralife,4709216,6085
twitch,181077473,gaules,3891316,10070
twitch,87056709,pgl_dota2,3839088,3530
twitch,622498423,otplol_,2750139,10080
twitch,71092938,xqc,2602644,1955
twitch,67708794,nix,2155658,2720
twitch,22346597,lvpes,2070739,4265
twitch,641972806,kaicenat,1933624,1765
twitch,90075649,illojuan,1883237,1850
twitch,190835892,lck_korea,1828616,2280
twitch,459331509,auronplay,1776672,1375
twitch,194701696,pgl_dota2en2,1652477,2730
twitch,238813810,eliasn97,1644118,2680
twitch,59299632,adinross,1599945,1420
twitch,49207184,fps_shaka,1589426,5285
twitch,129339704,betboom_ru,1571742,3490
twitch,142055874,lla,1561994,2205
twitch,207813352,hasanabi,1433332,2790
twitch,71190292,trainwreckstv,1420681,4025
twitch,26490481,summit1g,1367867,4720
twitch,36511475,cblol,1203362,2115
twitch,37402112,shroud,1153557,2995
twitch,83232866,ibai,1031602,1730
twitch,31239503,esl_csgo,1019211,9735
twitch,19070311,a_seagull,1007095,3360
twitch,31919607,elxokas,966975,2815
twitch,52091823,castro_1021,944230,2435
twitch,157658336,elspreen,925136,1125
twitch,42316376,just_ns,900635,3210
twitch,50988750,stylishnoob4,891850,3940
twitch,138094916,sinatraa,887840,2945
twitch,731357212,onextwo_,879351,135
twitch,94753024,mizkif,865194,1695
twitch,51496027,loltyler1,829308,3475
twitch,57781936,rocketleague,829198,2120
twitch,139470326,handongsuk,805519,3095
twitch,168732568,westcol,799627,1600
twitch,23161357,lirik,788354,2305
twitch,496795673,elmariana,787842,1450
twitch,64342766,trymacs,781025,2330
twitch,85397463,noway4u_sir,773868,3250
twitch,552120296,zackrawrr,745031,2995
twitch,44525650,k4sen,739977,4140
twitch,84316241,penta,731800,7910
twitch,254489093,casimito,723895,1720
twitch,108268890,gorgc,723837,3170
twitch,40336240,summonersinnlive,722560,4420
twitch,39276140,rubius,710421,1660
twitch,152633332,knekro,697049,2055
twitch,155601320,jltomy,672755,3200
twitch,125387632,amouranth,621448,3905
twitch,56649026,quin69,604897,3245
twitch,7236692,dansgaming,604703,7150
twitch,192678094,chap,604165,10050
twitch,77827128,tumblurr,593162,2855
twitch,12943173,pokelawls,591003,3385
twitch,25202416,shuteye_orange,586468,10060
twitch,38244180,alanzoka,585960,1740
twitch,128293484,k3soju,572754,3175
twitch,114772787,agustabell212,570614,6045
twitch,60056333,tfue,564574,2885
twitch,51929371,ml7support,562834,2915
twitch,485855940,lolpacifictw,560699,2115
twitch,121059319,moonmoon,535550,2595
twitch,132230344,moistcr1tikal,529305,2440
twitch,214062798,btssmash,524728,9310
twitch,140772558,baiano,510799,2235
twitch,39154778,recrent,509824,4260
twitch,15564828,nickmercs,490499,1545
twitch,135468063,antoinedaniel,488146,2490
twitch,36138196,alexelcapo,478825,1660
twitch,165080419,elraenn,474526,1135
twitch,194702141,pgl_dota2en4,462726,1285
twitch,26921830,elajjaz,462011,3500
twitch,40063341,domingo,461461,940
twitch,27115917,kamet0,456896,1970
twitch,49440419,qojqva,452526,3930
twitch,100901794,shylily,448679,3440
twitch,36340781,tarik,441909,2155
twitch,26610234,cohhcarnage,439814,2905
twitch,26301881,sodapoppin,439223,1565
twitch,59635827,supertf,433085,3130
twitch,86277097,buster,424531,1405
twitch,20992865,grubby,423359,3885
twitch,65171890,rainbow6,422310,1865
twitch,59799994,gabepeixe,420424,3365
twitch,23220337,emongg,412029,3945
twitch,49839696,rebirthztv,409455,2745
twitch,445529741,kyedae,405050,2320
twitch,652452451,meduska,400799,3710
twitch,30220059,esl_sc2,400709,9980
twitch,49045679,woowakgood,400390,1485
twitch,104833324,riotgamesjp,392318,2150
twitch,40488774,stray228,391948,2355
twitch,35936871,esl_csgob,391938,1295
twitch,194701994,pgl_dota2en3,385075,1175
twitch,121510236,juansguarnizo,382602,830
twitch,30857876,folagorlives,375314,3175
twitch,22484632,forsen,371915,2170
